institution,program_name,credential,admission_type,minimum_average,competitive_average,english_requirement,math_requirement,required_courses,other_requirements,source_url
NAIT,Tips for Mature Students,,,,,,,[],[],https://www.nait.ca/nait/admissions/programs/mature-students
NAIT,Program Availability,,,,,,,[],[],https://www.nait.ca/nait/admissions/programs/program-availability-domestic
NAIT,Program Availability,,,,,,,[],[],https://www.nait.ca/nait/admissions/programs/program-availability-international
NAIT,Program Previews,,,,,,,[],[],https://www.nait.ca/nait/admissions/tours-events-and-info-sessions/program-previews
NAIT,Business Innovation Showcase,,,,,,,[],[],https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/business-innovation-showcase
NAIT,Entrepreneurship Blue Book Program,,,,,,,[],[],https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/entrepreneurial-blue-book-program
NAIT,Innovation Challenge,,,,,,,[],[],https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/innovation-challenge
NAIT,Pitch it to Me,,,,,,,[],[],https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/pitch-it-to-me
NAIT,Mawji Student Ambassador Program,,,,,,,[],[],https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/student-ambassador-program
NAIT,FAQ - Applying to a Program at NAIT,,,,,,,[],[],https://www.nait.ca/nait/contact/faq/applying-to-a-program-at-nait
NAIT,n-Tier Development Programming Architecture,Course / part of Database Administrator program,,,,,,[],[],https://www.nait.ca/nait/continuing-education/courses/cctb140-n-tier-development-programming-architect
NAIT,Fundamentals of Cloud Programming,Course / part of Data Engineer Certificate,,,,,,[],[],https://www.nait.ca/nait/continuing-education/courses/cctb673-fundamentals-of-cloud-programming
NAIT,Introduction to Programming,Course / part of Core Programming or Python Developer,,,,,,[],[],https://www.nait.ca/nait/continuing-education/courses/cctp10-introduction-to-programming
NAIT,CLA: Programming Essentials in C,Course / part of C/C++ Programming Language group,,,,,,[],[],https://www.nait.ca/nait/continuing-education/courses/cctp135-cla-programming-essentials-in-c
NAIT,CPA: Programming Essentials in C++,Course / part of C/C++ Programming Language group,,,,,,[],[],https://www.nait.ca/nait/continuing-education/courses/cctp136-cpa-programming-essentials-in-c
NAIT,Programming Python Web Applications,Course / part of Core Programming or Python Developer,,,,,,[],[],https://www.nait.ca/nait/continuing-education/courses/cctp21-programming-python-web-applications
NAIT,Business Continuity Management Program (BCMP) Sustainment,Course / part of Business Continuity Certificate or Business Risk Management,,,,,,[],[],https://www.nait.ca/nait/continuing-education/courses/cdem306-business-continuity-management-program-(bc
