institution,program_name,credential,admission_type,source_url,notes_uncertain
MacEwan,Music Theatre Performance,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
MacEwan,Office Assistant,Other,,https://www.macewan.ca/academics/programs/office-assistant/admissions/requirements/index.html,
MacEwan,Office Assistant - Administrative,Other,,https://www.macewan.ca/academics/programs/office-assistant/admissions/requirements/index.html,
MacEwan,Office Assistant - Legal,Other,,https://www.macewan.ca/academics/programs/office-assistant/admissions/requirements/index.html,
MacEwan,Office Assistant - Medical,Other,,https://www.macewan.ca/academics/programs/office-assistant/admissions/requirements/index.html,
MacEwan,Open Studies,Other,,https://www.macewan.ca/academics/programs/open-studies/,
MacEwan,Paralegal Studies,Other,,https://www.macewan.ca/academics/programs/paralegal-studies/admissions/requirements/index.html,
MacEwan,Performance,Other,,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,
MacEwan,Perioperative Nursing for Registered Nurses and Licensed Practical Nurses,Other,,https://www.macewan.ca/academics/programs/perioperative-nursing/admissions/requirements/index.html,
MacEwan,Philosophy,Other,,https://www.macewan.ca/academics/academic-departments/humanities/academics/philosophy-major/,
MacEwan,Physical Sciences,Other,,https://www.macewan.ca/academics/academic-departments/physical-sciences/academics/physical-sciences-major/,
MacEwan,Physical Therapist Assistant and Occupational Therapist Assistant,Other,,https://www.macewan.ca/academics/programs/physical-therapist-assistant-and-occupational-therapist-assistant/admissions/requirements/index.html,
MacEwan,Police and Investigations - Investigative Studies,Other,,https://www.macewan.ca/academics/programs/police-investigations-investigative-studies/admissions/requirements/index.html,
MacEwan,Police and Investigations - Police Studies,Other,,https://www.macewan.ca/academics/programs/police-investigations-police-studies/admissions/requirements/index.html,
MacEwan,Political Science,Other,,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/political-science-honours/,
MacEwan,Political Science,Other,,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/political-science-major/,
MacEwan,Professional Communication,Other,,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/admissions/requirements/index.html,
MacEwan,Psychiatric Nursing,Other,,https://www.macewan.ca/academics/programs/bachelor-of-psychiatric-nursing/admissions/requirements/index.html,
MacEwan,Psychology,Other,,https://www.macewan.ca/academics/academic-departments/psychology/academics/psychology-honours/,
MacEwan,Psychology,Other,,https://www.macewan.ca/academics/academic-departments/psychology/academics/psychology-honours/,
MacEwan,Psychology,Other,,https://www.macewan.ca/academics/academic-departments/psychology/academics/psychology-major/,
MacEwan,Psychology,Other,,https://www.macewan.ca/academics/academic-departments/psychology/academics/psychology-major/,
MacEwan,Public Relations,Other,,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/admissions/requirements/index.html,
MacEwan,Recording and Production,Other,,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,
MacEwan,Social Work,Other,,https://www.macewan.ca/academics/programs/social-work/admissions/requirements/index.html,
MacEwan,Sociology,Other,,https://www.macewan.ca/academics/academic-departments/sociology/academics/sociology-honours/,
MacEwan,Sociology,Other,,https://www.macewan.ca/academics/academic-departments/sociology/academics/sociology-major/,
MacEwan,Speech Language Pathologist Assistant,Other,,https://www.macewan.ca/academics/programs/speech-language-pathologist-assistant/admissions/requirements/index.html,
MacEwan,Studio Arts,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
MacEwan,Studio Arts,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
MacEwan,Supply Chain Management,Other,,https://www.macewan.ca/academics/academic-departments/decision-sciences/academics/supply-chain-management-major/,
MacEwan,Theatre Production,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
MacEwan,Theatre Production,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
MacEwan,Travel and Tourism,Other,,https://www.macewan.ca/academics/programs/travel-and-tourism/admissions/requirements/index.html,
MacEwan,University Preparation,Other,,https://www.macewan.ca/academics/programs/university-preparation/,
